,stock_id,industry
0,1101,0
1,1102,0
2,1103,0
3,1104,0
4,1108,0
5,1109,0
6,1110,0
7,1201,1
8,1203,1
9,1210,1
10,1213,1
11,1215,1
12,1216,1
13,1217,1
14,1218,1
15,1219,1
16,1220,1
17,1225,1
18,1227,1
19,1229,1
20,1231,1
21,1232,1
22,1233,1
23,1234,1
24,1235,1
25,1236,1
26,1256,1
27,1301,2
28,1303,2
29,1304,2
30,1305,2
31,1307,2
32,1308,2
33,1309,2
34,1310,2
35,1312,2
36,1313,2
37,1314,2
38,1315,2
39,1316,3
40,1319,4
41,1321,2
42,1323,2
43,1324,2
44,1325,2
45,1326,2
46,1337,2
47,1338,4
48,1339,4
49,1340,2
50,1341,2
51,1342,0
52,1402,5
53,1409,5
54,1410,5
55,1413,5
56,1414,5
57,1416,0
58,1417,5
59,1418,5
60,1419,5
61,1423,5
62,1432,6
63,1434,5
64,1435,0
65,1436,3
66,1437,0
67,1438,3
68,1439,3
69,1440,5
70,1441,5
71,1442,3
72,1443,0
73,1444,5
74,1445,5
75,1446,5
76,1447,5
77,1449,5
78,1451,5
79,1452,5
80,1453,3
81,1454,5
82,1455,5
83,1456,3
84,1457,5
85,1459,5
86,1460,5
87,1463,5
88,1464,5
89,1465,5
90,1466,5
91,1467,5
92,1468,5
93,1470,5
94,1471,7
95,1472,3
96,1473,5
97,1474,5
98,1475,5
99,1476,5
100,1477,5
101,1503,8
102,1504,8
103,1506,8
104,1512,4
105,1513,8
106,1514,8
107,1515,8
108,1516,0
109,1517,8
110,1519,8
111,1521,4
112,1522,4
113,1524,4
114,1525,4
115,1526,8
116,1527,8
117,1528,8
118,1529,8
119,1530,8
120,1531,8
121,1532,8
122,1533,4
123,1535,8
124,1536,4
125,1537,8
126,1538,8
127,1539,8
128,1540,8
129,1541,8
130,1558,8
131,1560,8
132,1568,4
133,1582,7
134,1583,8
135,1587,4
136,1589,8
137,1590,8
138,1597,8
139,1598,6
140,1603,9
141,1604,9
142,1605,9
143,1608,9
144,1609,9
145,1611,9
146,1612,9
147,1614,9
148,1615,9
149,1616,9
150,1617,9
151,1618,9
152,1626,9
153,1701,10
154,1702,1
155,1707,10
156,1708,11
157,1709,11
158,1710,11
159,1711,11
160,1712,11
161,1713,11
162,1714,11
163,1717,11
164,1718,11
165,1720,10
166,1721,11
167,1722,11
168,1723,11
169,1725,11
170,1726,11
171,1727,11
172,1730,11
173,1731,10
174,1732,11
175,1733,10
176,1734,10
177,1735,11
178,1736,6
179,1737,1
180,1752,10
181,1760,10
182,1762,10
183,1773,11
184,1776,11
185,1783,10
186,1786,10
187,1789,10
188,1795,10
189,1802,0
190,1805,3
191,1806,0
192,1808,3
193,1809,0
194,1810,0
195,1817,0
196,1903,0
197,1904,0
198,1905,0
199,1906,0
200,1907,0
201,1909,0
202,2002,12
203,2006,12
204,2007,12
205,2008,12
206,2009,12
207,2010,12
208,2012,12
209,2013,12
210,2014,12
211,2015,12
212,2017,12
213,2020,12
214,2022,12
215,2023,12
216,2024,12
217,2025,12
218,2027,12
219,2028,12
220,2029,12
221,2030,12
222,2031,12
223,2032,12
224,2033,12
225,2034,12
226,2038,12
227,2049,8
228,2059,7
229,2062,13
230,2069,12
231,2101,0
232,2102,0
233,2103,0
234,2104,0
235,2105,0
236,2106,0
237,2107,0
238,2108,0
239,2109,0
240,2114,0
241,2115,4
242,2201,4
243,2204,4
244,2206,4
245,2207,4
246,2208,14
247,2211,12
248,2227,4
249,2228,4
250,2231,4
251,2233,4
252,2236,4
253,2239,4
254,2241,4
255,2243,4
256,2247,4
257,2250,4
258,2301,15
259,2302,16
260,2303,16
261,2305,15
262,2308,7
263,2312,17
264,2313,7
265,2314,18
266,2316,7
267,2317,17
268,2321,18
269,2323,19
270,2324,15
271,2327,7
272,2328,7
273,2329,16
274,2330,16
275,2331,15
276,2332,18
277,2337,16
278,2338,16
279,2340,16
280,2342,16
281,2344,16
282,2345,18
283,2347,20
284,2348,0
285,2349,19
286,2351,16
287,2352,15
288,2353,15
289,2354,17
290,2355,7
291,2356,15
292,2357,15
293,2358,0
294,2359,17
295,2360,17
296,2362,15
297,2363,16
298,2364,15
299,2365,15
300,2367,7
301,2368,7
302,2369,16
303,2371,8
304,2373,17
305,2374,19
306,2375,7
307,2376,15
308,2377,15
309,2379,16
310,2380,15
311,2382,15
312,2383,7
313,2385,7
314,2387,15
315,2388,16
316,2390,17
317,2392,7
318,2393,19
319,2395,15
320,2397,15
321,2399,15
322,2401,16
323,2402,7
324,2404,17
325,2405,15
326,2406,19
327,2408,16
328,2409,19
329,2412,18
330,2413,7
331,2414,20
332,2415,7
333,2417,15
334,2419,18
335,2420,7
336,2421,7
337,2423,17
338,2424,18
339,2425,15
340,2426,19
341,2427,21
342,2428,7
343,2429,19
344,2430,20
345,2431,7
346,2433,17
347,2434,16
348,2436,16
349,2438,19
350,2439,18
351,2440,7
352,2441,16
353,2442,3
354,2443,0
355,2444,18
356,2449,16
357,2450,18
358,2451,16
359,2453,21
