,Change Record,Extra Change,Date,Net Worth,mdd,stock_id,mfs_score,buy_price,sell_price,lowest_price,highest_price,buy_date,sell_date,profit(%),MAE,BMFE,GMFE
0,2015-01-01-2015-01-11 報酬率: 0.074084% 本金:8005795.549605649,每次換手最大報酬 : 18.012972%,2015-01-05,1.0,0.0,6108,82.0,24.15,24.3,24.0,24.6,2015-01-05,2015-01-09,0.6211180124223725,0.6211180124223544,0.0,1.8633540372670927
1,2015-01-11-2015-02-11 報酬率: 0.190425% 本金:8020550.709565556,每次換手最小報酬 : -15.376421%,2015-01-06,0.9906952605952022,-0.9304739404797813,8249,82.0,25.3,24.4,24.4,25.4,2015-01-05,2015-01-09,-3.5573122529644396,3.5573122529644357,0.395256916996039,0.395256916996039
2,2015-02-11-2015-03-11 報酬率: 6.718661% 本金:8548637.449749617,,2015-01-07,1.0067377717536332,0.0,2542,82.0,63.6,63.6,62.9,63.6,2015-01-05,2015-01-09,0.0,1.1006289308176145,0.0,0.0
3,2015-03-11-2015-04-01 報酬率: 4.167743% 本金:8896827.39428175,,2015-01-08,1.0042609201435841,-0.24602748397277718,6220,80.0,18.95,18.65,18.55,19.0,2015-01-05,2015-01-09,-1.58311345646438,2.110817941952499,0.2638522427440671,0.2638522427440671
4,2015-04-01-2015-04-11 報酬率: 2.267264% 本金:9092021.795547284,,2015-01-12,1.000740839402738,-0.5956796813582632,5514,80.0,21.3,21.45,20.95,21.6,2015-01-05,2015-01-09,0.7042253521126751,1.6431924882629174,0.0,1.4084507042253553
5,2015-04-11-2015-05-16 報酬率: -0.864514% 本金:9014844.000283431,,2015-01-13,0.998160157907186,-0.8520206638821026,8213,80.0,53.2,52.0,51.7,53.2,2015-01-05,2015-01-09,-2.2556390977443663,2.819548872180451,0.0,0.0
6,2015-05-16-2015-06-11 報酬率: 1.856614% 本金:9177812.964789204,,2015-01-14,1.0003256984195659,-0.6369159391822699,5356,80.0,66.4,65.8,65.3,66.4,2015-01-05,2015-01-09,-0.9036144578313365,1.656626506024109,0.0,0.0
7,2015-06-11-2015-07-11 報酬率: -2.462752% 本金:8954734.447394254,,2015-01-15,0.9974730884469085,-0.9202677764425737,2387,80.0,21.1,22.4,21.1,22.95,2015-01-05,2015-01-09,6.16113744075828,0.0,0.0,8.76777251184833
8,2015-07-11-2015-08-15 報酬率: -5.250708% 本金:8489978.002095856,,2015-01-16,0.9871439288052507,-1.9462707666418444,4915,79.0,39.0,38.95,37.8,39.1,2015-01-05,2015-01-09,-0.12820512820511665,3.076923076923084,0.0,0.25641025641026005
9,2015-08-15-2015-09-11 報酬率: 3.223824% 本金:8756485.102942297,,2015-01-19,0.9751919665779857,-3.133467925882827,3264,79.0,26.75,27.2,26.25,27.2,2015-01-05,2015-01-09,1.6822429906542036,1.8691588785046727,0.0,1.682242990654203
10,2015-09-11-2015-10-11 報酬率: 5.065079% 本金:9190585.150644373,,2015-01-20,0.9869940276453677,-1.9611605586104086,6108,87.0,23.9,22.25,22.25,24.0,2015-01-12,2015-02-11,-6.903765690376562,6.903765690376564,0.41841004184101016,0.41841004184101016
11,2015-10-11-2015-11-15 報酬率: 10.118213% 本金:10097676.835995326,,2015-01-21,0.9963805208849841,-1.0287933123446669,6261,84.0,62.5,64.5,61.1,64.7,2015-01-12,2015-02-11,3.200000000000003,2.239999999999998,0.47999999999999543,3.5200000000000045
12,2015-11-15-2015-12-11 報酬率: 1.059497% 本金:10203453.938405965,,2015-01-22,1.0208540592651134,0.0,2428,83.0,45.1,46.4,43.9,46.5,2015-01-12,2015-02-11,2.882483370288247,2.6607538802660815,0.11086474501108017,3.104212860310418
13,2015-12-11-2016-01-11 報酬率: -2.903776% 本金:9911229.502567092,,2015-01-23,1.0153823644059337,-0.5359918794973217,4935,83.0,43.85,45.0,43.3,46.85,2015-01-12,2015-02-11,2.6225769669327326,1.2542759407069652,0.0,6.841505131128849
14,2016-01-11-2016-02-11 報酬率: 4.577808% 本金:10357879.374123735,,2015-01-26,1.0141247919943983,-0.6591801452559554,2383,83.0,40.75,43.7,40.7,43.7,2015-01-12,2015-02-11,7.239263803680984,0.1226993865030605,0.736196319018398,7.239263803680989
15,2016-02-11-2016-03-11 報酬率: 11.865901% 本金:11568978.452055618,,2015-01-27,1.0185451005014705,-0.22617912351791114,3264,82.0,27.4,25.9,25.9,27.7,2015-01-12,2015-02-11,-5.474452554744524,5.474452554744526,1.0948905109489078,1.0948905109489078
16,2016-03-11-2016-04-01 報酬率: -0.548609% 本金:11506392.084884683,,2015-01-28,1.0189697443167354,-0.1845822065628555,2542,82.0,65.2,65.1,64.3,65.7,2015-01-12,2015-02-11,-0.15337423312884457,1.3803680981595179,0.7668711656441718,0.7668711656441718
17,2016-04-01-2016-04-11 報酬率: 0.549028% 本金:11568159.107646558,,2015-01-29,1.0121073344520786,-0.8568046268368046,2367,81.0,13.3,14.2,13.05,14.2,2015-01-12,2015-02-11,6.766917293233066,1.8796992481203008,0.0,6.766917293233071
18,2016-04-11-2016-05-16 報酬率: -2.868048% 本金:11240889.075397946,,2015-01-30,1.0130079779258652,-0.7685801185819296,6220,80.0,18.7,17.45,17.4,19.0,2015-01-12,2015-02-11,-6.68449197860963,6.9518716577540145,1.6042780748663141,1.6042780748663141
